playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,batting_avg
abadfe01,2016,1,MIN,AL,39,1.0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
abreujo02,2016,1,CHA,AL,159,624.0,67,183,32,1,25,100.0,0.0,2.0,47,125.0,7.0,15.0,0.0,9.0,21.0,0.2932692307692308
ackledu01,2016,1,NYA,AL,28,61.0,6,9,0,0,0,4.0,0.0,0.0,8,9.0,0.0,0.0,0.0,1.0,0.0,0.14754098360655737
adamecr01,2016,1,COL,NL,121,225.0,25,49,7,3,2,17.0,2.0,3.0,24,47.0,0.0,4.0,3.0,0.0,5.0,0.21777777777777776
adamsma01,2016,1,SLN,NL,118,297.0,37,74,18,0,16,54.0,0.0,1.0,25,81.0,1.0,2.0,0.0,3.0,5.0,0.24915824915824916
adlemti01,2016,1,CIN,NL,13,21.0,2,4,2,0,0,3.0,0.0,0.0,0,11.0,0.0,0.0,2.0,0.0,0.0,0.19047619047619047
adriaeh01,2016,1,SFN,NL,40,63.0,3,16,2,0,2,7.0,0.0,1.0,2,13.0,0.0,2.0,4.0,0.0,0.0,0.25396825396825395
aguilje01,2016,1,CLE,AL,9,6.0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ahmedni01,2016,1,ARI,NL,90,284.0,26,62,9,1,4,20.0,5.0,2.0,15,58.0,3.0,4.0,2.0,3.0,9.0,0.21830985915492956
alberha01,2016,1,TEX,AL,35,56.0,2,8,1,0,0,5.0,1.0,0.0,0,17.0,0.0,0.0,2.0,0.0,1.0,0.14285714285714285
alberma01,2016,1,CHA,AL,58,1.0,1,1,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
alcanar01,2016,1,OAK,AL,16,19.0,2,4,1,0,0,2.0,3.0,3.0,0,8.0,0.0,0.0,0.0,0.0,1.0,0.21052631578947367
alfarjo01,2016,1,PHI,NL,6,16.0,0,2,0,0,0,0.0,0.0,0.0,1,8.0,1.0,0.0,0.0,0.0,0.0,0.125
almonab01,2016,1,CLE,AL,67,182.0,24,48,20,1,1,22.0,8.0,0.0,8,42.0,1.0,1.0,0.0,3.0,5.0,0.26373626373626374
almoral01,2016,1,CHN,NL,47,112.0,14,31,9,1,3,14.0,0.0,0.0,5,20.0,0.0,0.0,0.0,0.0,5.0,0.2767857142857143
