"runner","age","net","gun","year","previous"
"1",53,83.98333333,87.03333333,2002,0
"1",54,74.3,74.56666667,2003,1
"1",55,75.15,75.26666667,2004,2
"1",56,74.21666667,74.4,2005,3
"1",57,74.25,74.33333333,2006,4
"1",58,NA,74.83333333,2007,5
"1",59,NA,79.51666667,2008,6
"2",52,82.66666667,85.6,2001,0
"2",53,80.03333333,80.66666667,2002,1
"2",54,88.11666667,94.8,2003,2
"2",55,80.93333333,84.4,2004,3
"2",56,88.1,89.58333333,2005,4
"2",58,NA,91.78333333,2007,5
"2",59,NA,83.71666667,2008,6
"3",51,89.38333333,91.58333333,2001,0
"3",52,89.23333333,94.8,2002,1
"3",53,89.71666667,90.63333333,2003,2
"3",54,88.68333333,89.73333333,2004,3
"3",55,97.55,103.6833333,2005,4
"3",56,85.05,87.85,2006,5
"3",57,NA,86.55,2007,6
"4",52,NA,105.6833333,1999,0
"4",53,98.45,101.7333333,2000,1
"4",54,101.5833333,107.05,2001,2
"4",55,109.05,113.9833333,2002,3
"4",56,100.05,105.9333333,2003,4
"4",58,106.1,114.5333333,2005,5
"4",61,NA,114.1666667,2008,6
"5",51,76.23333333,76.88333333,2000,0
"5",52,71.28333333,71.53333333,2001,1
"5",53,76.86666667,78.16666667,2002,2
"5",54,68.53333333,69.68333333,2003,3
"5",56,82.01666667,83.01666667,2005,4
"5",57,83.78333333,84.5,2006,5
"5",58,NA,82.63333333,2007,6
"6",54,NA,75.38333333,1999,0
"6",55,72.86666667,73.01666667,2000,1
"6",58,77.5,78.5,2003,2
"6",59,80.93333333,82.66666667,2004,3
"6",61,78.31666667,78.46666667,2006,4
"6",62,NA,88.88333333,2007,5
"6",63,NA,81.58333333,2008,6
"7",51,96.26666667,101.25,2001,0
"7",52,99.05,101.3833333,2002,1
"7",53,104.3833333,106.9,2003,2
"7",54,107.9,114.4,2004,3
"7",55,100.5,105.5,2005,4
"7",57,NA,108.05,2007,5
"7",58,NA,115.1166667,2008,6
"8",52,NA,94.55,1999,0
"8",53,99.5,103.4166667,2000,1
"8",54,104.1666667,107.9666667,2001,2
"8",55,102.7333333,107.0833333,2002,3
"8",58,111.0833333,117.5,2005,4
"8",60,NA,110.8833333,2007,5
"8",61,NA,123.4666667,2008,6
"9",54,NA,91.58333333,1999,0
"9",55,96.48333333,98.35,2000,1
"9",56,94.18333333,97.8,2001,2
"9",57,94.98333333,97.76666667,2002,3
"9",58,113.2666667,113.2666667,2003,4
"9",61,105.0333333,111.8,2006,5
"9",62,NA,98.38333333,2007,6
"10",52,NA,111.15,1999,0
"10",54,121,126.1,2001,1
"10",55,107.35,112.3333333,2002,2
"10",56,110.6666667,115.1,2003,3
"10",57,118.05,122.8166667,2004,4
"10",59,131,137.8333333,2006,5
"10",61,NA,115.7333333,2008,6
"11",52,79.86666667,80.01666667,2002,0
"11",53,83.6,83.68333333,2003,1
"11",54,87.13333333,87.3,2004,2
"11",55,97.75,97.9,2005,3
"11",56,98.91666667,99.05,2006,4
"11",57,NA,100.85,2007,5
"11",58,NA,101.65,2008,6
"12",51,NA,69.06666667,1999,0
"12",53,67.5,67.73333333,2001,1
"12",54,68.45,68.63333333,2002,2
"12",55,70.18333333,70.5,2003,3
"12",56,80.93333333,82.08333333,2004,4
"12",57,71.78333333,72.2,2005,5
"12",59,NA,71.15,2007,6
"13",53,77.43333333,77.61666667,2002,0
"13",54,82.1,85.25,2003,1
"13",55,80.18333333,80.35,2004,2
"13",56,79.5,79.6,2005,3
"13",57,91.9,92.23333333,2006,4
"13",58,NA,81.53333333,2007,5
"13",59,NA,81.31666667,2008,6
"14",53,98.4,100.35,2000,0
"14",54,102.5833333,106.1833333,2001,1
"14",55,97.75,98.45,2002,2
"14",56,94.56666667,96.93333333,2003,3
"14",57,89.95,90.73333333,2004,4
"14",58,96.21666667,97.21666667,2005,5
"14",59,97.48333333,104.3666667,2006,6
"15",52,96.8,101.0666667,2001,0
"15",53,88.36666667,89.93333333,2002,1
"15",54,100.1833333,102.2333333,2003,2
"15",55,96.51666667,99.56666667,2004,3
"15",56,98.43333333,101,2005,4
"15",58,NA,96.68333333,2007,5
"15",59,NA,102.6833333,2008,6
"16",52,98.3,101.3166667,2000,0
"16",53,92.31666667,96.45,2001,1
"16",54,89.85,91.68333333,2002,2
"16",55,96.68333333,100.9833333,2003,3
"16",57,92.35,99.13333333,2005,4
"16",59,NA,88.95,2007,5
"16",60,NA,89.65,2008,6
"17",50,NA,85.25,1999,0
"17",52,78.41666667,83.7,2001,1
"17",53,110.2333333,110.2333333,2002,2
"17",54,91.78333333,96.68333333,2003,3
"17",55,123.9833333,123.9833333,2004,4
"17",57,95.86666667,95.98333333,2006,5
"17",58,NA,93.01666667,2007,6
"18",50,NA,97.8,1999,0
"18",52,96.88333333,97.38333333,2001,1
"18",53,106.1166667,110.3666667,2002,2
"18",54,99.46666667,103.7333333,2003,3
"18",56,103.9166667,110.3666667,2005,4
"18",58,NA,104.3666667,2007,5
"18",59,NA,108.1,2008,6
"19",52,NA,85.3,1999,0
"19",54,81.9,82.48333333,2001,1
