species,island,year,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,above_average_weight,sex
Adelie,Torgersen,2007,39.1,18.7,181,3750,0,male
Adelie,Torgersen,2007,39.5,17.4,186,3800,0,female
Adelie,Torgersen,2007,40.3,18,195,3250,0,female
Adelie,Torgersen,2007,NA,NA,NA,NA,NA,NA
Adelie,Torgersen,2007,36.7,19.3,193,3450,0,female
Adelie,Torgersen,2007,39.3,20.6,190,3650,0,male
Adelie,Torgersen,2007,38.9,17.8,181,3625,0,female
Adelie,Torgersen,2007,39.2,19.6,195,4675,1,male
Adelie,Torgersen,2007,34.1,18.1,193,3475,0,NA
Adelie,Torgersen,2007,42,20.2,190,4250,1,NA
Adelie,Torgersen,2007,37.8,17.1,186,3300,0,NA
Adelie,Torgersen,2007,37.8,17.3,180,3700,0,NA
Adelie,Torgersen,2007,41.1,17.6,182,3200,0,female
Adelie,Torgersen,2007,38.6,21.2,191,3800,0,male
Adelie,Torgersen,2007,34.6,21.1,198,4400,1,male
Adelie,Torgersen,2007,36.6,17.8,185,3700,0,female
Adelie,Torgersen,2007,38.7,19,195,3450,0,female
Adelie,Torgersen,2007,42.5,20.7,197,4500,1,male
Adelie,Torgersen,2007,34.4,18.4,184,3325,0,female
Adelie,Torgersen,2007,46,21.5,194,4200,0,male
Adelie,Biscoe,2007,37.8,18.3,174,3400,0,female
Adelie,Biscoe,2007,37.7,18.7,180,3600,0,male
Adelie,Biscoe,2007,35.9,19.2,189,3800,0,female
Adelie,Biscoe,2007,38.2,18.1,185,3950,0,male
Adelie,Biscoe,2007,38.8,17.2,180,3800,0,male
Adelie,Biscoe,2007,35.3,18.9,187,3800,0,female
Adelie,Biscoe,2007,40.6,18.6,183,3550,0,male
Adelie,Biscoe,2007,40.5,17.9,187,3200,0,female
Adelie,Biscoe,2007,37.9,18.6,172,3150,0,female
Adelie,Biscoe,2007,40.5,18.9,180,3950,0,male
Adelie,Dream,2007,39.5,16.7,178,3250,0,female
Adelie,Dream,2007,37.2,18.1,178,3900,0,male
Adelie,Dream,2007,39.5,17.8,188,3300,0,female
Adelie,Dream,2007,40.9,18.9,184,3900,0,male
Adelie,Dream,2007,36.4,17,195,3325,0,female
