percent_population_change,percent_people_over_65,percent_african_american,percent_hispanic,percent_hs_grad,percent_bachelor,rate_homeownership,median_house_value,median_hh_income,percent_poverty,percent_vote_difference
1.5,13.8,18.7,2.7,85.6,20.9,76.8,136200,53682,12.1,1.1
9.8,18.7,9.6,4.6,89.1,27.7,72.6,168600,50221,13.9,-0
-2.1,16.5,47.6,4.5,73.7,13.4,67.7,89200,32911,26.7,8.1
-1.8,14.8,22.1,2.1,77.5,12.1,79,90500,36447,18.1,5.3
0.7,17,1.8,8.7,77,12.1,81,117100,44145,15.8,3.9
-1.4,14.9,70.1,7.5,67.8,12.5,74.3,70600,32033,21.6,3.1
-3.1,18,44,1.2,76.3,14,70.3,74700,29918,28.4,5.1
-2.3,16,21.1,3.5,78.6,16.1,68.7,100600,39962,21.9,5.8
-0.3,18.3,39.5,2,75.1,11.8,67.9,81200,32402,24.1,8.6
0.2,20.9,4.6,1.5,78.3,12.8,76.1,99400,34907,21.2,9.2
0.7,15.2,10.6,7.7,76,12.9,74.5,102600,41250,19.5,3.5
-3.9,20.8,42.4,0.8,75.2,11.8,83.7,58200,33941,21.5,8.3
-3.5,18,44.2,1.3,78.3,11.2,72.9,85600,29357,29.3,1.8
-2.7,19.4,14.5,3.4,76.5,9.2,75,79900,34002,19,10
0.7,18.4,3.6,2.5,76,9,77.6,100800,38019,18.4,5.1
1.9,15.9,17.7,6.4,82.4,22.5,69.9,131000,43768,18.6,3.9
0.2,18.5,16.3,2.6,83.5,17.7,72.1,99300,39077,17.9,13.9
-4.2,20.4,46.2,1.8,77.3,8.8,79.1,69600,24658,32.7,6.5
-7.4,18.5,31.8,2.3,75,9.8,83,75100,37277,20.9,11.9
0.4,19.8,13,1.6,78.4,14.2,75.1,88800,35869,20,6.1
0.5,18,24,1.7,76.7,12.7,69.9,70800,36275,19.1,6.9
1.1,17.6,1.4,4.4,79.8,14.8,75,106100,38847,18.8,4.3
-1.5,15.4,19.7,6.1,84.1,17,61.1,99400,44889,17.4,4.9
-4.8,15.6,69.5,1,77.5,14.2,60.9,75700,26519,35.5,2.9
-0.1,15.7,2.1,14.2,70.6,10.7,76.3,93400,37851,19.9,8.7
2.1,14,21.2,2.7,86.6,21,75.5,144600,54766,13.4,1.1
-1.5,16.7,32.4,2.1,76.2,11.7,72.5,84100,30687,25.4,8.2
-0.9,17.3,15.5,3.7,81.8,14.8,72.4,100000,38013,19,7.9
-2.1,19.6,11.9,1.4,74.9,13.2,74.9,71400,33838,19.9,7.3
-0.3,15.9,4.6,16.1,72.5,11,69.5,82300,36415,21.9,13.6
-0.3,19.2,9.7,3.6,77.2,10.4,72.1,78100,35625,21.2,5.5
-5.4,17.9,80.5,1,76.2,12.8,73.2,72700,24226,32.9,14.9
-3.7,17.3,58.1,1.3,77.4,12.8,78,79900,30051,26.6,6.6
-0.6,20.8,27.3,2.6,80.1,16.6,77.7,97000,41650,14.4,8.9
2.6,16.1,26.7,3.3,83.9,19.7,64.6,122300,40948,18,4.2
-1.1,18.6,3.6,2.9,74.6,13,75.2,93400,37634,16,14.1
0.4,14.3,42.9,3.8,87.4,30,64.7,140800,45429,18,-3.4
-3.3,20.5,11.3,1.4,76.1,9.5,71.5,66800,36028,22.3,10.2
0.4,18.2,10.4,2.4,83.8,21.1,69.9,114300,42844,17.2,10.3
-2.5,16.8,11.4,2.2,77.1,11.9,80.1,94200,38551,17.5,16.7
9.9,10.3,23.7,3.9,86.7,32.5,61.7,146900,43542,22,0.5
9.7,13.8,13.5,5.8,81.5,22.7,76.6,134500,48619,14.7,2.5
-6.4,17.4,72.9,1.2,73.9,14.4,74.9,71400,26230,26.7,12.4
-9.4,16.8,81.5,1.5,80,19.6,65.7,75700,30724,27.3,25.2
4.6,13.7,24.6,4.7,90,38.5,69.3,164500,58434,12.8,-4.6
-4.4,18.6,51,2.4,83.7,17.4,71.3,89600,35079,24,3.2
-1.6,20.1,4.2,2.5,74.6,9.5,75.9,78700,32888,20.9,9
1.7,16.3,2.7,12.9,76.2,15.2,71.9,114000,39526,19.5,5.2
0.5,14.5,35.3,2.8,83.9,20.7,66.6,124300,43028,19.8,2.7
-4.9,17.9,41.1,1.2,76.1,10.6,74,76900,29203,28.6,5.6
-1.4,13.3,56.7,3.4,85.6,31.5,61.4,122900,44790,21.2,-4.6
0.1,15.9,12.5,7.9,81.4,19.9,71.5,120500,44800,15.7,4.2
-7.1,17.9,67.5,1.3,70.2,10.4,67,58000,28209,25.6,7.7
3.1,17.8,40.2,4.1,79.7,11,72,81900,28741,27.2,7.7
1.5,14.1,36.9,2.2,81,23,57.8,101000,33090,27.6,4.4
-1.6,19.6,20.2,2.9,72.6,11.1,72.3,88600,35213,24.5,9.4
12.6,12.5,42.9,5,80.4,16,61.3,104400,36143,22,9.7
3.7,15.3,9.5,2.3,82,15.5,81.5,134600,50786,15.2,0.8
5.9,13,12.1,6,91.2,40.3,79,193000,68770,7.9,-5
